"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812205","BSU08860","NP_388766.2","alkanesulfonate monooxygenase","58531","Escherichia coli 536","110641131","ECP_0947","WP_000055997.1","alkanesulfonate monooxygenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077953","BSU08880","NP_388768.1","30S ribosomal protein S14","58531","Escherichia coli 536","110643546","ECP_3395","WP_001118930.1","30S ribosomal protein S14","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767207","BSU08910","NP_388772.2","iron-sulfur containing oxidoreductase subunit","58531","Escherichia coli 536","110644523","ECP_4411","WP_001294248.1","putative electron transport protein YjeS","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767208","BSU08930","NP_388774.2","rRNA methylase","58531","Escherichia coli 536","110643850","ECP_3707","WP_000932347.1","putative tRNA/rRNA methyltransferase YibK","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077962","BSU08970","NP_388778.1","serine protein kinase","58531","Escherichia coli 536","110641905","ECP_1731","WP_001019882.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077963","BSU08980","NP_388779.1","hypothetical protein","58531","Escherichia coli 536","110641906","ECP_1732","WP_000219700.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077965","BSU09000","NP_388781.1","integral inner membrane protein","58531","Escherichia coli 536","110643476","ECP_3325","WP_000854033.1","p-hydroxybenzoic acid efflux subunit AaeA","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077965","BSU09000","NP_388781.1","integral inner membrane protein","58531","Escherichia coli 536","110641571","ECP_1391","WP_000587194.1","multidrug resistance protein A","4","","ECP_3325[p-hydroxybenzoic acid efflux subunit AaeA];ECP_2650[multidrug resistance protein A];ECP_4323[multidrug resistance protein MdtN];ECP_2393[multidrug resistance protein K]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077965","BSU09000","NP_388781.1","integral inner membrane protein","58531","Escherichia coli 536","110642810","ECP_2650","WP_001295175.1","multidrug resistance protein A","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077965","BSU09000","NP_388781.1","integral inner membrane protein","58531","Escherichia coli 536","110644440","ECP_4323","WP_000446372.1","multidrug resistance protein MdtN","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077965","BSU09000","NP_388781.1","integral inner membrane protein","58531","Escherichia coli 536","110642557","ECP_2393","WP_000435157.1","multidrug resistance protein K","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077966","BSU09010","NP_388782.1","exporter","58531","Escherichia coli 536","110642811","ECP_2651","WP_001296316.1","multidrug resistance protein B","3","BSU03840[efflux transporter]","ECP_1392[multidrug resistance protein B];ECP_2392[multidrug resistance protein Y]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077966","BSU09010","NP_388782.1","exporter","58531","Escherichia coli 536","110641572","ECP_1392","WP_000987379.1","multidrug resistance protein B","1","BSU03840[efflux transporter]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077966","BSU09010","NP_388782.1","exporter","58531","Escherichia coli 536","110642556","ECP_2392","WP_001018712.1","multidrug resistance protein Y","1","BSU03840[efflux transporter]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077967","BSU09020","NP_388783.1","oxidoreductase","58531","Escherichia coli 536","110641187","ECP_1003","WP_001151437.1","TrpR binding protein WrbA","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077975","BSU09100","NP_388791.1","major cold-shock protein","58531","Escherichia coli 536","110640853","ECP_0654","WP_000034825.1","cold shock protein CspE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077975","BSU09100","NP_388791.1","major cold-shock protein","58531","Escherichia coli 536","110641940","ECP_1766","WP_001062678.1","cold shock-like protein CspC","1","","ECP_0654[cold shock protein CspE]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077977","BSU09120","NP_388793.1","diguanylate cyclase or phosphodiesterase","58531","Escherichia coli 536","110642061","ECP_1889","WP_000431471.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077978","BSU09130","NP_388794.1","sodium-cystine symporter","58531","Escherichia coli 536","110641850","ECP_1676","WP_001010714.1","putative sodium:dicarboxylate symporter YdjN","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077989","BSU09240","NP_388805.1","phosphoglycolate phosphatase","58531","Escherichia coli 536","110641848","ECP_1674","WP_000106821.1","2-deoxyglucose-6-phosphatase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077992","BSU09270","NP_388808.1","glycerol-3-phosphate responding transcription antiterminator","58531","Escherichia coli 536","110642902","ECP_2742","WP_001130266.1","putative anti-terminator regulatory protein YgcP","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077993","BSU09280","NP_388809.1","glycerol permease","58531","Escherichia coli 536","110644263","ECP_4136","WP_000084268.1","glycerol uptake facilitator protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767217","BSU09290","NP_388810.2","glycerol kinase","58531","Escherichia coli 536","110644262","ECP_4135","WP_000136788.1","glycerol kinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767218","BSU09300","NP_388811.2","glycerol-3-phosphate oxidase","58531","Escherichia coli 536","110643658","ECP_3511","WP_000448166.1","glycerol-3-phosphate dehydrogenase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767219","BSU09310","NP_388812.2","alpha-phosphoglucomutase","58531","Escherichia coli 536","110640908","ECP_0709","WP_001295873.1","phosphoglucomutase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077998","BSU09330","NP_388814.1","two-component response regulator YhcY","58531","Escherichia coli 536","110642402","ECP_2233","WP_001113641.1","transcriptional regulator NarP","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077999","BSU09340","NP_388815.1","oxidoreductase, NAD(P)H-FMN and ferric iron reductase","58531","Escherichia coli 536","110644055","ECP_3913","WP_001291252.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078003","BSU09380","NP_388819.1","NO-dependent activator of the ResDE regulon","58531","Escherichia coli 536","110644535","ECP_4423","WP_001177639.1","transcriptional repressor NsrR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078005","BSU09400","NP_388821.1","spore cortex synthesis protein","58531","Escherichia coli 536","110641413","ECP_1231","WP_000190868.1","SpoVR family protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767221","BSU09410","NP_388822.2","alkaline phosphatase A","58531","Escherichia coli 536","110640644","ECP_0442","WP_001298539.1","alkaline phosphatase","1","BSU05740[alkaline phosphatase III]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767223","BSU09430","NP_388824.2","transcriptional regulator CitR","58531","Escherichia coli 536","110641605","ECP_1427","WP_000414563.1","LysR family transcriptional regulator","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767224","BSU09440","NP_388825.2","citrate synthase I","58531","Escherichia coli 536","110640612","ECP_0408","WP_001285909.1","methylcitrate synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078013","BSU09480","NP_388829.1","PLP-dependent transcriptional regulator","58531","Escherichia coli 536","110642796","ECP_2636","WP_001138429.1","GntR family transcriptional regulator","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078020","BSU09550","NP_388836.1","transporter or sensor","58531","Escherichia coli 536","110644583","ECP_4471","WP_000935036.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078022","BSU09570","NP_388838.1","aspartate aminotransferase","58531","Escherichia coli 536","110640832","ECP_0633","WP_000183963.1","putative aminotransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078024","BSU09590","NP_388840.1","hypothetical protein","58531","Escherichia coli 536","110642773","ECP_2613","WP_032140825.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078027","BSU09620","NP_388843.1","glycerophosphodiester phosphodiesterase","58531","Escherichia coli 536","110643689","ECP_3542","WP_000073617.1","cytoplasmic glycerophosphodiester phosphodiesterase","1","BSU24180[glycerophosphodiester phosphodiesterase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078029","BSU09640","NP_388845.1","integral inner membrane protein","58531","Escherichia coli 536","110641565","ECP_1385","WP_000559878.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078030","BSU09650","NP_388846.1","NAD-dependent deacetylase","58531","Escherichia coli 536","110641296","ECP_1114","WP_000952746.1","NAD-dependent deacetylase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078033","BSU09680","NP_388849.1","Na+/H+ antiporter","58531","Escherichia coli 536","110644722","ECP_4615","WP_001063844.1","putative Na+/H+ antiporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078036","BSU09710","NP_388852.1","ABC transporter ATP-binding protein","58531","Escherichia coli 536","110640709","ECP_0509","WP_001235634.1","putative multidrug transporter membrane\ATP-binding components","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078037","BSU09720","NP_388853.1","ABC transporter ATP-binding protein","58531","Escherichia coli 536","110640710","ECP_0510","WP_001256204.1","putative multidrug transporter membrane\ATP-binding components","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767226","BSU09850","NP_388866.2","transporter involved in K+ efflux","58531","Escherichia coli 536","110640739","ECP_0539","WP_000546234.1","putative cation:proton antiport protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078059","BSU09950","NP_388876.1","molecular chaperone lipoprotein","58531","Escherichia coli 536","110644105","ECP_3968","WP_001140251.1","peptidyl-prolyl cis-trans isomerase C","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078066","BSU10020","NP_388883.1","phosphoserine aminotransferase","58531","Escherichia coli 536","110641104","ECP_0918","WP_000057158.1","phosphoserine aminotransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078067","BSU10030","NP_388884.1","Hit-family hydrolase","58531","Escherichia coli 536","110641279","ECP_1095","WP_001298479.1","purine nucleoside phosphoramidase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767235","BSU10070","NP_388888.2","amidohydrolase","58531","Escherichia coli 536","110644305","ECP_4178","WP_000569555.1","putative hippurate hydrolase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767236","BSU10110","NP_388892.2","penicillin-binding protein 2C required for spore germination","58531","Escherichia coli 536","110640370","ECP_0159","WP_000918171.1","penicillin-binding protein 1b","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078076","BSU10120","NP_388893.1","uroporphyrinogen decarboxylase","58531","Escherichia coli 536","110644332","ECP_4210","WP_000137654.1","uroporphyrinogen decarboxylase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078077","BSU10130","NP_388894.1","ferrochelatase","58531","Escherichia coli 536","110640736","ECP_0536","WP_001250114.1","ferrochelatase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078079","BSU10150","NP_388896.1","transcriptional regulator","58531","Escherichia coli 536","110644571","ECP_4459","WP_001298021.1","TetR/AcrR family transcriptional regulator","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078086","BSU10220","NP_388903.1","proton/sodium-glutamate symport protein","58531","Escherichia coli 536","110644429","ECP_4310","WP_000789589.1","glutamate/aspartate:proton symporter","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078089","BSU10250","NP_388906.1","lipoate-protein ligase","58531","Escherichia coli 536","110644823","ECP_4770","WP_000105872.1","lipoate-protein ligase A","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078090","BSU10260","NP_388907.1","epimerase","58531","Escherichia coli 536","110643750","ECP_3603","WP_000189357.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078095","BSU10310","NP_388912.1","N-acetyltransferase","58531","Escherichia coli 536","110644451","ECP_4336","WP_001110516.1","aminoalkylphosphonic acid N-acetyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078096","BSU10320","NP_388913.1","oxidoreductase","58531","Escherichia coli 536","110643488","ECP_3337","WP_001148484.1","zinc-binding dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767239","BSU10330","NP_388914.2","iron(III) dicitrate-binding lipoprotein","58531","Escherichia coli 536","110643271","ECP_3117","WP_001296418.1","iron ABC transporter substrate-binding protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078098","BSU10340","NP_388915.1","phosphatase","58531","Escherichia coli 536","110644834","ECP_4781","WP_000942350.1","phosphoglycerate mutase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078107","BSU10430","NP_388924.1","oxidoreductase","58531","Escherichia coli 536","110643242","ECP_3088","WP_000018758.1","oxidoreductase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078112","BSU10480","NP_388929.1","integral inner membrane protein","58531","Escherichia coli 536","110641872","ECP_1698","WP_000977153.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078113","BSU10490","NP_388930.1","type I signal peptidase","58531","Escherichia coli 536","110642730","ECP_2570","WP_000002542.1","signal peptidase I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078114","BSU10500","NP_388931.1","hypothetical protein","58531","Escherichia coli 536","110643055","ECP_2900","WP_000111208.1","2-octaprenyl-6-methoxyphenyl hydroxylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078114","BSU10500","NP_388931.1","hypothetical protein","58531","Escherichia coli 536","110640884","ECP_0685","WP_000184559.1","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078114","BSU10500","NP_388931.1","hypothetical protein","58531","Escherichia coli 536","110643054","ECP_2899","WP_001192208.1","hypothetical protein","2","","ECP_2900[2-octaprenyl-6-methoxyphenyl hydroxylase];ECP_0685[2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767240","BSU10530","NP_388934.2","neotrehalosadiamine biosyntehsis dehydrogenase","58531","Escherichia coli 536","110641549","ECP_1367","WP_001298096.1","oxidoreductase YcjS","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078122","BSU10580","NP_388939.1","hypothetical protein","58531","Escherichia coli 536","110641698","ECP_1520","WP_001054212.1","putative MFS-type transporter YdeE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078123","BSU10590","NP_388940.1","hypothetical protein","58531","Escherichia coli 536","110640283","ECP_0072","WP_001298643.1","transcriptional regulator SgrR","1","","ECP_0506[putative extracellular solute-binding protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078123","BSU10590","NP_388940.1","hypothetical protein","58531","Escherichia coli 536","110640706","ECP_0506","WP_001238259.1","putative extracellular solute-binding protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767244","BSU10640","NP_388945.3","DNA repair exonuclease","58531","Escherichia coli 536","110640659","ECP_0457","WP_001221281.1","exonuclease subunit SbcD","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767245","BSU10650","NP_388946.2","DNA ATP-dependent repair enzyme","58531","Escherichia coli 536","110640658","ECP_0456","WP_000698869.1","exonuclease subunit SbcC","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078139","BSU10750","NP_388956.1","catabolic enzyme","58531","Escherichia coli 536","110641405","ECP_1223","WP_000284277.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812210","BSU10790","NP_388960.2","asparagine synthetase","58531","Escherichia coli 536","110640885","ECP_0686","WP_000337011.1","asparagine synthetase B","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078145","BSU10820","NP_388962.1","Na+driven efflux transporter","58531","Escherichia coli 536","110642131","ECP_1960","WP_001362831.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078150","BSU10870","NP_388967.1","aminoacid related metabolite efflux transporter","58531","Escherichia coli 536","110643067","ECP_2912","WP_000493346.1","arginine exporter protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812213","BSU10880","NP_388968.2","PLP-dependent transcriptional regulator","58531","Escherichia coli 536","110641619","ECP_1441","WP_000760645.1","GntR family transcriptional regulator","1","BSU05370[PLP-dependent transcriptional regulator]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078154","BSU10900","NP_388971.1","hydrolase","58531","Escherichia coli 536","110643645","ECP_3498","WP_001060083.1","carboxylesterase BioH","1","BSU33640[hydrolase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078155","BSU10910","NP_388972.1","adenylylsulfate kinase","58531","Escherichia coli 536","110642892","ECP_2732","WP_001173656.1","adenylylsulfate kinase","1","BSU15600[adenylylsulfate kinase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812215","BSU10930","NP_388974.2","phospho-adenylylsulfate sulfotransferase","58531","Escherichia coli 536","110642896","ECP_2736","WP_000039862.1","phosphoadenosine phosphosulfate reductase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078165","BSU11010","NP_388982.1","bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase protein","58531","Escherichia coli 536","110644349","ECP_4228","WP_000096032.1","B12-dependent methionine synthase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078166","BSU11020","NP_388983.1","nucleotide-binding protein","58531","Escherichia coli 536","110640686","ECP_0486","WP_001138904.1","putative nucleotide-binding protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078179","BSU11150","NP_388996.1","hydrolase","58531","Escherichia coli 536","110644547","ECP_4435","WP_000569735.1","esterase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767251","BSU11190","NP_389001.2","N-acetyl-gamma-glutamyl-phosphate reductase","58531","Escherichia coli 536","110644298","ECP_4171","WP_000935379.1","N-acetyl-gamma-glutamyl-phosphate reductase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078186","BSU11210","NP_389003.1","acetylglutamate kinase","58531","Escherichia coli 536","110644299","ECP_4172","WP_001339391.1","acetylglutamate kinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767253","BSU11220","NP_389004.2","acetylornithine aminotransferase","58531","Escherichia coli 536","110641868","ECP_1694","WP_000081990.1","bifunctional succinylornithine transaminase/acetylornithine transaminase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767253","BSU11220","NP_389004.2","acetylornithine aminotransferase","58531","Escherichia coli 536","110643599","ECP_3450","WP_000963809.1","bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase protein","1","","ECP_1694[bifunctional succinylornithine transaminase/acetylornithine transaminase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767254","BSU11230","NP_389005.2","carbamoyl phosphate synthase small subunit","58531","Escherichia coli 536","110640244","ECP_0031","WP_001298633.1","carbamoyl phosphate synthase small subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078190","BSU11250","NP_389007.1","ornithine carbamoyltransferase","58531","Escherichia coli 536","110644610","ECP_4498","WP_011579310.1","putative ornithine carbamoyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078198","BSU11330","NP_389015.1","3-oxoacyl-(acyl carrier protein) synthase III","58531","Escherichia coli 536","110641267","ECP_1083","WP_000288132.1","3-oxoacyl-(acyl carrier protein) synthase III","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078199","BSU11340","NP_389016.1","3-oxoacyl-(acyl carrier protein) synthase II","58531","Escherichia coli 536","110641271","ECP_1087","WP_000044679.1","3-oxoacyl-(acyl carrier protein) synthase II","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767257","BSU11370","NP_389019.2","oligopeptide ABC transporter ATP-binding protein","58531","Escherichia coli 536","110641476","ECP_1294","WP_000994905.1","oligopeptide transport ATP-binding protein OppF","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767258","BSU11390","NP_389021.2","oligopeptide ABC transporter permease","58531","Escherichia coli 536","110643791","ECP_3644","WP_000938855.1","dipeptide transporter permease DppB","1","","ECP_0845[putative ABC transporter periplasmic binding protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767258","BSU11390","NP_389021.2","oligopeptide ABC transporter permease","58531","Escherichia coli 536","110641033","ECP_0845","WP_000936043.1","putative ABC transporter periplasmic binding protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078205","BSU11400","NP_389022.1","oligopeptide ABC transporter permease","58531","Escherichia coli 536","110641034","ECP_0846","WP_001236019.1","putative ABC transporter inner membrane component","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078207","BSU11420","NP_389024.1","tryptophanyl-tRNA synthetase","58531","Escherichia coli 536","110643618","ECP_3469","WP_000165543.1","tryptophanyl-tRNA synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078208","BSU11430","NP_389025.1","oligopeptide ABC transporter binding lipoprotein","58531","Escherichia coli 536","110641472","ECP_1290","WP_024174317.1","periplasmic oligopeptide-binding protein precursor","2","BSU12960[dipeptide ABC transporter dipeptide-binding lipoprotein]","ECP_3109[putative binding protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078208","BSU11430","NP_389025.1","oligopeptide ABC transporter binding lipoprotein","58531","Escherichia coli 536","110643263","ECP_3109","WP_011579205.1","putative binding protein","1","BSU12960[dipeptide ABC transporter dipeptide-binding lipoprotein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078209","BSU11440","NP_389026.1","oligopeptide ABC transporter permease","58531","Escherichia coli 536","110641473","ECP_1291","WP_000911112.1","oligopeptide transporter permease","1","BSU12930[dipeptide ABC transporter permease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078210","BSU11450","NP_389027.1","oligopeptide ABC transporter permease","58531","Escherichia coli 536","110641474","ECP_1292","WP_000979665.1","oligopeptide transport system permease protein OppC","1","BSU12940[dipeptide ABC transporter permease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078211","BSU11460","NP_389028.1","oligopeptide ABC transporter ATP-binding protein","58531","Escherichia coli 536","110641475","ECP_1293","WP_000110954.1","oligopeptide transporter ATP-binding component","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078212","BSU11470","NP_389029.1","oligopeptide ABC transporter ATP-binding protein","58531","Escherichia coli 536","110641476","ECP_1294","WP_000994905.1","oligopeptide transport ATP-binding protein OppF","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078215","BSU11500","NP_389032.1","transcriptional regulator Spx","58531","Escherichia coli 536","110642644","ECP_2484","WP_000258253.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078222","BSU11570","NP_389039.1","murein lytic transglycosylase","58531","Escherichia coli 536","110644831","ECP_4778","WP_000409429.1","lytic murein transglycosylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078226","BSU11610","NP_389043.1","inorganic polyphosphate/ATP-NAD kinase","58531","Escherichia coli 536","110642775","ECP_2615","WP_001059176.1","inorganic polyphosphate/ATP-NAD kinase","1","BSU29540[inorganic polyphosphate/ATP-NAD kinase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078228","BSU11630","NP_389045.1","bis(5'-nucleosyl)-tetraphosphatase PrpE","58531","Escherichia coli 536","110640264","ECP_0051","WP_000257181.1","diadenosine tetraphosphatase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078232","BSU11670","NP_389049.1","FAD-dependent glycine oxidase","58531","Escherichia coli 536","110641414","ECP_1232","WP_001266908.1","D-amino acid dehydrogenase small subunit","1","BSU32630[oxidoreductase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078234","BSU11690","NP_389051.1","thiazole synthase","58531","Escherichia coli 536","110644325","ECP_4203","WP_000902344.1","thiazole synthase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078235","BSU11700","NP_389052.1","thiamine/molybdopterin biosynthesis ThiF/MoeB-like protein","58531","Escherichia coli 536","110644327","ECP_4205","WP_001298653.1","adenylyltransferase ThiF","1","BSU14270[thiamine/molybdopterin biosynthesis MoeB-like protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078236","BSU11710","NP_389053.1","phosphomethylpyrimidine kinase","58531","Escherichia coli 536","110642311","ECP_2141","WP_000822281.1","phosphomethylpyrimidine kinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812220","BSU11720","NP_389054.2","enoyl-(acyl carrier protein) reductase","58531","Escherichia coli 536","110641524","ECP_1342","WP_000506492.1","enoyl-(acyl carrier protein) reductase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078251","BSU11860","NP_389068.1","hydrolase","58531","Escherichia coli 536","110644060","ECP_3918","WP_001577284.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078252","BSU11870","NP_389069.1","cystathionine gamma-synthase","58531","Escherichia coli 536","110644275","ECP_4148","WP_000197204.1","cystathionine gamma-synthase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078253","BSU11880","NP_389070.1","cystathionine beta-lyase","58531","Escherichia coli 536","110644275","ECP_4148","WP_000197204.1","cystathionine gamma-synthase","","","","Borderline-SSD"
